,sh600519,sh600036,sh601318,sh601166,sh600030,sh601328,sh600887,sh600000,sh601601,sh600048,sh600028,sh600309,sh601186,sh600031,sh601012,sh601628,sh601088,sh600585,sh600690,sh601888,sh600276,sh601766
2022-06-07,0.016722595078299873,0.009751090582499344,-0.002485314053321308,0.016675351745701006,0.007515030060120109,0.002044989775051187,0.00608407079646045,0.0025445292620864812,0.00894538606403028,0.023442732752846585,0.009009009009008917,0.011926273942898469,0.005115089514066584,0.007479861910241858,0.00016496205872651437,0.0027932960893854997,-0.00969732588892147,0.008236296506674234,-0.006781013163143279,0.021163728794827863,0.02161808057648207,0.0
2022-06-08,0.026239067055393583,0.00457433290978404,0.009966024915062377,0.006150691952844456,0.012431626056688128,0.0020408163265306367,0.020065970313358994,-0.0025380710659898,0.006066262249183385,-0.01308900523560208,0.006696428571428381,0.007023809523809543,-0.008905852417302795,-0.00913763563677894,-0.006927263730826305,0.001591723040191173,0.0442136498516319,0.007042253521126751,-0.02248995983935742,0.03658008658008649,0.02885540237255535,0.003937007874015741
2022-06-09,-0.006753859348198943,0.01922590437642291,0.0006727965911637046,0.02852776362710152,-0.006385068762278956,0.006109979633401208,-0.0021557531662623752,0.011450381679389388,0.0,0.03315649867374004,0.0022172949002217113,0.013949639437285555,0.007702182284980763,0.0034582132564839885,0.012788573326689923,0.010329757647993487,-0.010230179028132946,-0.005034965034965033,-0.03327855382087097,-0.024326581749843368,-0.03552508569647883,-0.005882352941176339
2022-06-10,0.025688073394495303,-0.0042194092827004814,0.007171671896010867,0.006934125804853641,0.02768166089965396,0.014170040485829816,0.008101539292465487,-0.002515723270440362,0.012987012987013102,-0.003209242618742003,-0.06415929203539805,0.01923749562784205,0.002547770700636942,-0.03446295232624941,0.0013119055428010284,0.009044435705859222,-0.0005742176284810885,0.0008434073657577201,0.020824479388015238,0.004547886570358539,0.019709208400646272,0.005917159763313418
2022-06-13,-0.023466273808271043,-0.03863409770687931,-0.017801513128615887,-0.021151008362026547,-0.02501202501202504,-0.019960079840319334,-0.006964907581033963,-0.020176544766708715,-0.025183150183150205,-0.045074050225370255,-0.014184397163120699,-0.027568062228322976,-0.013977128335451172,0.045806067816775764,-0.005240746806419949,-0.020265003897116163,-0.031025567365699613,-0.0025280898876405278,-0.017485428809325465,-0.05027962716378165,-0.008238276299112779,-0.0117647058823529
2022-06-14,0.0080818965517242,0.01737101374124972,0.024467603081105516,0.016582914572864427,0.04144055254070045,0.014256619144602967,0.01861343404370097,0.012870012870012992,0.02442461249412875,0.02090357383681729,0.016786570743405393,0.016351017527349798,0.005154639175257714,0.03754266211604107,-0.023213697728021176,0.04335719968178209,0.023124814705010488,0.018867924528301883,0.021186440677966045,0.01514216813414837,0.010223642172523917,0.015873015873015817
2022-06-15,0.0021913415285943483,0.031600407747196524,0.05373728438743908,0.02422145328719716,0.03600189483657035,0.00401606425702794,0.00820974576271194,0.020330368487928796,0.07290233837689142,0.048216644649933915,-0.009433962264150941,0.0670138888888887,0.024358974358974494,0.00328947368421062,-0.013989549974717685,0.09988562714449101,-0.023471457548536523,0.019347705914870117,0.016597510373443924,0.005358819954698557,0.03099304237824163,0.0234375
2022-06-16,0.0010132792917711964,-0.012845849802371467,-0.02413431269674704,-0.06322393822393813,-0.0480109739368999,-0.008000000000000007,-0.00026267402153923314,-0.013698630136986245,-0.03589743589743588,-0.017643352236924925,-0.014285714285714457,-0.021043497125501687,-0.015018773466833557,-0.02076502732240426,0.02478632478632492,-0.030849220103986164,-0.03857566765578646,-0.00949023861171372,-0.001224489795918382,0.0001099021870536454,0.0003067484662575559,-0.013358778625954248
2022-06-17,0.03942461374533823,-0.002752752752752774,0.011397849462365661,-0.0010303967027305294,0.0,0.002016129032258007,0.006043089858118744,0.0063131313131312705,0.0146276595744681,-0.0006414368184733954,-0.004830917874396046,0.054404432132963976,0.003811944091486774,0.003906249999999778,0.015012510425354453,0.01573676680972813,0.004938271604938427,0.015603613468382127,0.021250510829587288,0.046098901098901024,0.023305734437289116,0.0
2022-06-20,-0.004602767811378805,-0.0037641154328732496,-0.0355092494152669,-0.01340897369778249,-0.004803073967339144,-0.004024144869215207,-0.010185427004439807,-0.007528230865746499,0.006116207951070374,0.03080872913992283,-0.012135922330097082,-0.022698612862547263,-0.0012658227848102444,0.03279599777654263,-0.001314708299096079,0.016901408450704203,-0.04668304668304679,0.0,0.02200880352140855,0.03471820999002051,0.00269703326341042,0.005802707930367523
